WG Width,Wx,Wy,y_off,Overlap
0.000001600000000000000,0.000001493990831375060,0.000000665653482224156,0.000000329690993288862,99.257379823875700000000
0.000001700000000000000,0.000001562216522100080,0.000000671229452082432,0.000000335036234099964,99.218765130082600000000
0.000001800000000000000,0.000001657528005681430,0.000000669330551008874,0.000000333398438683283,99.209692673002700000000
0.000001900000000000000,0.000001726400681930510,0.000000670405301669244,0.000000333439635162487,99.191821193985100000000
0.000002000000000000000,0.000001788363721630490,0.000000672939730213894,0.000000333458648784818,99.173752361483000000000
0.000002100000000000000,0.000001857354231729920,0.000000664781769054533,0.000000336009765423378,99.157236307531000000000
0.000002200000000000000,0.000001898047327559730,0.000000672189236159752,0.000000336201691264250,99.132323713441400000000
0.000002300000000000000,0.000001995618689694890,0.000000670628162906907,0.000000334170005740560,99.125103217899400000000
0.000002400000000000000,0.000002073702916306070,0.000000659716836429341,0.000000336803781485000,99.100019734255000000000
0.000002600000000000000,0.000002205452579960060,0.000000665979962953802,0.000000334278946437709,99.075823723865300000000
0.000002700000000000000,0.000002270396448246400,0.000000664858643619765,0.000000337402141123822,99.064835396556000000000
0.000002800000000000000,0.000002341265477300580,0.000000670328531655387,0.000000335464405723318,99.051774745253800000000
0.000002900000000000000,0.000002389270002707430,0.000000667485517359196,0.000000335799588846090,99.037452447463500000000
0.000003200000000000000,0.000002602087931794870,0.000000662691466644797,0.000000336582873042483,98.997311740478500000000
0.000003300000000000000,0.000002693310680149110,0.000000667115783062124,0.000000335786761431761,98.987977836792000000000
0.000003400000000000000,0.000002771985428110110,0.000000667214108274784,0.000000336166615031341,98.975673087897600000000
0.000003500000000000000,0.000002802324328275470,0.000000670854183769852,0.000000337494140828901,98.965762926391700000000
0.000003600000000000000,0.000002918973727821730,0.000000667217685847479,0.000000338244348516899,98.954804590366200000000
0.000003700000000000000,0.000002956558406853010,0.000000664770177194709,0.000000337850016379005,98.941635481183400000000
0.000003800000000000000,0.000003109018912426470,0.000000670117447508995,0.000000338339479615817,98.907168236114300000000
0.000004000000000000000,0.000003145307347204810,0.000000672837238628401,0.000000338337637697639,98.915704171180100000000
